shade_id,brand,product,shade_name,hex,undertone,depth,source,source_url
PUBLIC-05713,Natasha Denona,Foundation X+,YFair,#EBDFD0,unknown,fair,Public Sephora-style foundation swatch dataset,
PUBLIC-05714,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#D0A17D,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05715,Natasha Denona,Face Glow Foundation,FN,#E7D4AB,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05716,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,N,#F2C594,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05717,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,P10.2,#F6D2B3,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05718,Makeup Revolution,Conceal & Define Full Coverage Foundation,F10.2,#BB8D68,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05719,Makeup Revolution,Conceal & Define Full Coverage Foundation,F10.5,#F0C698,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05720,Makeup Revolution,Conceal & Glow Foundation,F10.5,#D88B5A,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05721,Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,Shade 11,#9D6743,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05722,jane iredale,Beyond Matte Liquid Foundation,M11,#C98966,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05723,Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,11.0,#995B3C,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05724,LORAC,PRO Soft Focus Longwear Foundation,11,#C39061,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05725,Laura Mercier,Smooth Finish Foundation Powder,11,#D49B69,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05726,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,11,#B27754,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05727,Charlotte Tilbury,Magic Foundation,11,#B08066,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05728,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Khaki Sephora Quality Way-Nice Price,#C58E77,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05729,SEPHORA COLLECTION,Clean Glowing Skin Foundation,11,#DCAC8B,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05730,surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,#AE7E56,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05731,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#CEA08F,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05732,Benefit Cosmetics,Mini Hello Happy Flawless Brightening Foundation SPF 15,11,#8B5033,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05733,Benefit Cosmetics,Hello Happy Soft Blur Foundation,Shade 11,#C9866E,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05734,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,P11.2,#F3CA9D,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05735,Makeup Revolution,Conceal & Define Full Coverage Foundation,F11.2,#AB7447,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05736,Armani Beauty,Neo Nude Foundation,11.5,#CD976C,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05737,Charlotte Tilbury,Magic Foundation,11.5,#A16B51,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05738,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,P,#F2CDA2,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05739,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,11.75,#B2715E,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05740,Benefit Cosmetics,Hello Happy Air Stick Foundation SPF 20,Shade 12,#835138,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05741,Makeup Revolution,Conceal & Define Full Coverage Foundation,F12,#E2A672,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05742,jane iredale,Beyond Matte Liquid Foundation,M12,#C8834D,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05743,Urban Decay Cosmetics,All Nighter Liquid Full Coverage Foundation,12.0,#754631,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05744,LORAC,PRO Soft Focus Longwear Foundation,12,#C79D78,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05745,Laura Mercier,Smooth Finish Foundation Powder,12,#D09C75,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05746,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,12,#B07350,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05747,Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,12W,#AF7D6F,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05748,Charlotte Tilbury,Magic Foundation,12,#A57566,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05749,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Tweed Sephora Quality Way-Nice Price,#B48366,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05750,Koh Gen Do,Aqua Foundation,12,#EDCFC3,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05751,surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,#A3704E,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05752,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#CCA67A,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05753,Black Up,Full Coverage Cream Foundation,HC,#935F53,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05754,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,Y,#EDC894,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05755,Makeup Revolution,Conceal & Define Full Coverage Foundation,F12.2,#A26B44,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05756,Makeup Revolution,Conceal & Define Full Coverage Foundation,F12.7,#916548,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05757,Makeup Revolution,Fast Base Stick Foundation,F13,#A06839,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05758,Makeup Revolution,Conceal & Hydrate Foundation,F13,#9A5B32,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05759,jane iredale,Beyond Matte Liquid Foundation,M13,#BE7C51,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05760,LORAC,PRO Soft Focus Longwear Foundation,13,#C89173,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05761,Laura Mercier,Smooth Finish Foundation Powder,13,#C49A7F,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05762,Armani Beauty,Neo Nude Foundation,13,#AD7452,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05763,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,13,#A1755C,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05764,Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,13C,#A36548,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05765,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Taffeta Sephora Quality Way-Nice Price,#B37864,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05766,Koh Gen Do,Aqua Foundation,13,#E3C6B6,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05767,SEPHORA COLLECTION,Clean Glowing Skin Foundation,13,#DCA98D,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05768,surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,#A66942,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05769,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#CCA184,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05770,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,P,#E3AF8A,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05771,Makeup Revolution,Conceal & Define Full Coverage Foundation,F13.2,#815843,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05772,Makeup Revolution,Conceal & Define Full Coverage Foundation,F13.5,#B7633B,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05773,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,13.5,#9D5E52,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05774,Makeup Revolution,Conceal & Define Full Coverage Foundation,F13.7,#705242,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05775,Makeup Revolution,Conceal & Hydrate Foundation,F14,#88533C,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05776,Makeup Revolution,Conceal & Define Full Coverage Foundation,F14,#B86441,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05777,jane iredale,Beyond Matte Liquid Foundation,M14,#995F3F,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05778,LORAC,PRO Soft Focus Longwear Foundation,14,#C3995E,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05779,Laura Mercier,Smooth Finish Foundation Powder,14,#D4915D,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05780,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Chenille Sephora Quality Way-Nice Price,#AB7165,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05781,surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,#A06039,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05782,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#CEA56F,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05783,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,P,#DBA982,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05784,Makeup Revolution,Conceal & Glow Foundation,F14.2,#894A18,unknown,rich-deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05785,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,P14.5,#E4A272,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05786,Makeup Revolution,Conceal & Define Full Coverage Foundation,F14.7,#81533E,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05787,jane iredale,Beyond Matte Liquid Foundation,M15,#99543F,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05788,LORAC,PRO Soft Focus Longwear Foundation,15,#C48E56,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05789,Laura Mercier,Smooth Finish Foundation Powder,15,#C68355,unknown,medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05790,SEPHORA COLLECTION,MicroSmooth Baked Powder Foundation,Nude Sephora Quality Way-Nice Price,#D9B69F,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05791,Armani Beauty,Power Fabric Longwear High Cover Foundation SPF 25,15,#7E5046,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05792,Lancôme,SKIN FEELS GOOD Skin Nourishing Foundation,015N,#E0C5A7,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05793,SEPHORA COLLECTION,Matte Perfection Tinted Moisturizer,Suede Sephora Quality Way-Nice Price,#916860,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05794,Bite Beauty,Changemaker Supercharged Micellar Foundation,L15,#F5C5B1,unknown,light,Public Sephora-style foundation swatch dataset,
PUBLIC-05795,SEPHORA COLLECTION,Clean Glowing Skin Foundation,15,#D3A27F,unknown,light-medium,Public Sephora-style foundation swatch dataset,
PUBLIC-05796,surratt beauty,Surreal Skin Foundation Wand,Surreal Skin,#885739,unknown,deep,Public Sephora-style foundation swatch dataset,
PUBLIC-05797,bareMinerals,I AM AN ORIGINAL GET STARTED® KIT Original Loose Mineral Foundation Customizable Set,bareMinerals,#A38059,unknown,tan,Public Sephora-style foundation swatch dataset,
PUBLIC-05798,SEPHORA COLLECTION,Best Skin Ever Liquid Foundation,N,#E1B38C,unknown,light-medium,Public Sephora-style foundation swatch dataset,
